Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date
PV346710,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD407991,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-13,2025-09-25
PV346711,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD410779,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25
PV346712,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD410763,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25
PV346713,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD407778,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022,2025-09-25
PV346714,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD408080,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25
PV346715,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD408029,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25
PV346716,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD410758,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25
PX236819,GenBank,NA,Ferret pestivirus,Ferret pestivirus,M15,11454,partial,New Zealand,NA,Mustela putorius furo,NA,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24
PX236820,GenBank,NA,Ferret pestivirus,Ferret pestivirus,M16,11566,partial,New Zealand,NA,Mustela putorius furo,NA,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24
PX236821,GenBank,NA,Ferret pestivirus,Ferret pestivirus,M17,11460,partial,New Zealand,NA,Mustela putorius furo,NA,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24
PX236822,GenBank,NA,Ferret pestivirus,Ferret pestivirus,M20,11226,partial,New Zealand,NA,Mustela putorius furo,NA,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24
PX275358,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Bovax,12577,complete,New Zealand,NA,Bos taurus,NA,"Dunowska,M., Bond,S., Gray,H., Biggs,P.","Massey University, School of Veterinary Science",New Zealand,1967,2025-09-24
PX275359,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,28326,12312,complete,New Zealand,NA,Bos taurus,NA,"Dunowska,M., Bond,S., Gray,H., Biggs,P.","Massey University, School of Veterinary Science",New Zealand,1997,2025-09-24
PX121309,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,IT/2005_206041,12266,partial,Italy,NA,Bos taurus,NA,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2005,2025-08-19
PX121310,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,IT/2015_277457-2,12336,partial,Italy,NA,Bos taurus,NA,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2015,2025-08-19
PX121311,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,IT/2016_169121,12279,partial,Italy,NA,Bos taurus,NA,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2016,2025-08-19
PX121312,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,IT/2018_64643,12267,partial,Italy,NA,Bos taurus,NA,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2018,2025-08-19
PV945811,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Gansu1,12265,complete,China,NA,Bos taurus,blood,"Liu,Z.J., Mo,Y.L., Li,C., Cao,X.A., Shang,Y.J.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory for Animal Disease Control and Prevention",China,2025,2025-08-05
PV945812,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Gansu2,12129,complete,China,NA,Bos taurus,blood,"Li,C., Mo,L.Y., Liu,J.Z., Cao,A.X., Gao,D.S., He,J.J., Shang,J.Y.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory for Animal Disease Control and Prevention",China,2025,2025-08-05
PQ816256,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,BVDV-1m-HLJ-2018,12215,complete,China,NA,Bos taurus,oronasopharynx,"Yin,X., Sun,C., Liu,J.","Harbin Veterinary Research Institute (HVRI), Livestock Infectious Diseases Research Team",China,2018,2025-07-31
LC881125,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/76/2020,11826,partial,"Japan:Okinawa,Uruma",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-11,2025-07-24
LC881126,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/77/2020,11826,partial,"Japan:Gunma,Takasaki",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-09-25,2025-07-24
LC881127,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/78/2020,11826,partial,"Japan:Yamagata,Tsuruoka",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-24,2025-07-24
LC881128,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/79/2020,11826,partial,"Japan:Mie,Iga",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-28,2025-07-24
LC881129,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/80/2021,11826,partial,"Japan:Wakayama,Katsuragi",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-01-25,2025-07-24
LC881130,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/81/2021,11826,partial,"Japan:Nara,Nara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-29,2025-07-24
LC881131,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/82/2021,11826,partial,"Japan:Gunma,Maebashi",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-01,2025-07-24
LC881132,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/83/2021,11826,partial,"Japan:Mie,Tsu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-13,2025-07-24
LC881133,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/84/2021,11826,partial,"Japan:Tochigi,Nasushiobara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-16,2025-07-24
LC881134,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/85/2021,11826,partial,"Japan:Tochigi,Nasushiobara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-16,2025-07-24
LC881135,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/86/2021,11826,partial,"Japan:Yamanashi,Chuo",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-10,2025-07-24
LC881136,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/87/2021,11826,partial,"Japan:Kanagawa,Sagamihara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-07,2025-07-24
LC881137,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/88/2021,11826,partial,"Japan:Yamanashi,Doshi",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-04,2025-07-24
LC881138,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/89/2021,11826,partial,"Japan:Gunma,Kiryu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-06,2025-07-24
LC881139,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/90/2021,11826,partial,"Japan:Shiga,Ohmihachiman",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-10-05,2025-07-24
LC881140,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/91/2021,11826,partial,"Japan:Gunma,Maebashi",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-10-18,2025-07-24
LC881141,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/92/2021,11826,partial,"Japan:Gunma,Kiryu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-11-25,2025-07-24
LC881142,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/93/2021,11826,partial,"Japan:Miyagi,Ogawara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-11,2025-07-24
LC881143,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/94/2021,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-24,2025-07-24
LC881144,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/95/2022,11826,partial,"Japan:Tochigi,Nakagawa",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-03-24,2025-07-24
LC881145,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/96/2022,11826,partial,"Japan:Ibaraki,Ishioka",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-12,2025-07-24
LC881146,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/97/2022,11826,partial,"Japan:Ibaraki,Shirosato",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-14,2025-07-24
LC881147,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/98/2022,11826,partial,"Japan:Gunma,Ota",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-21,2025-07-24
LC881148,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/99/2022,11826,partial,"Japan:Gunma,Kiryu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-05-09,2025-07-24
LC881149,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/100/2022,11826,partial,"Japan:Gunma,Kiryu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-14,2025-07-24
LC881150,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/101/2022,11826,partial,"Japan:Tochigi,Nasukarasuyama",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-07-22,2025-07-24
LC881151,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/102/2022,11826,partial,"Japan:Gunma,Itakura",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-09-20,2025-07-24
LC881152,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/103/2022,11826,partial,"Japan:Tokyo,Kodaira",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-19,2025-07-24
LC881153,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/104/2023,11826,partial,"Japan:Ibaraki,Kasumigaura",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-02-28,2025-07-24
LC881154,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/105/2023,11826,partial,"Japan:Hyogo,Minamiawaji",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-07-22,2025-07-24
LC881155,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/106/2023,11826,partial,"Japan:Saga,Karatsu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-08-30,2025-07-24
LC881156,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/107/2023,11826,partial,"Japan:Saga,Karatsu",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-08-31,2025-07-24
LC881157,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/108/2024,11826,partial,"Japan:Tochigi,Tochigi",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-02-16,2025-07-24
LC881158,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/109/2024,11826,partial,"Japan:Tochigi,Nasushiobara",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-05-24,2025-07-24
LC881159,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/110/2024,11826,partial,"Japan:Iwate,Hirono",NA,Sus scrofa domesticus,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-05-27,2025-07-24
LC881160,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI167/2019,11826,partial,"Japan:Gifu,Yaotsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24
LC881161,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI169/2019,11826,partial,"Japan:Gifu,Yaotsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24
LC881162,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI170/2019,11826,partial,"Japan:Gifu,Kawabe",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-20,2025-07-24
LC881163,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI172/2019,11826,partial,"Japan:Gifu,Yamagata",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24
LC881164,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI173/2019,11826,partial,"Japan:Gifu,Mino",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-20,2025-07-24
LC881165,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI174/2019,11826,partial,"Japan:Gifu,Minokamo",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24
LC881166,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI175/2019,11826,partial,"Japan:Gifu,Gifu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24
LC881167,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KY1/2020,11826,partial,"Japan:Kyoto,Ujitawara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-21,2025-07-24
LC881168,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_NI1/2020,11826,partial,"Japan:Niigata,Myoko",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-20,2025-07-24
LC881169,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KN1/2020,11826,partial,"Japan:Kanagawa,Sagamihara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-05-09,2025-07-24
LC881170,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI177/2019,11826,partial,"Japan:Gifu,Gifu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24
LC881171,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI183/2019,11826,partial,"Japan:Gifu,Gifu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24
LC881172,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI185/2019,11826,partial,"Japan:Gifu,Minokamo",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24
LC881173,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GI186/2019,11826,partial,"Japan:Gifu,Mitake",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24
LC881174,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_IB1/2020,11826,partial,"Japan:Ibaraki,Toride",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-25,2025-07-24
LC881175,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_TY1/2020,11826,partial,"Japan:Tokyo,Ome",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-27,2025-07-24
LC881176,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_GU10/2020,11826,partial,"Japan:Gunma,Naganohara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-05-01,2025-07-24
