#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NS5A_Pestivirus_i=61_n=2     -            220 PV346698.1           -           3899   9.5e-06   17.5   0.1   1   1   5.6e-06   2.1e-05   16.4   0.1    29   218  2712  2896  2686  2898 0.78 -
NS3_Pestivirus_i=20_n=21     -            683 PV626349.1           -           3907         0 1360.0   0.1   1   1         0         0 1357.3   0.1     1   683  1598  2280  1598  2280 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PV626349.1           -           3907         0 1323.5   0.2   1   1         0         0 1323.1   0.2     1   715  3188  3902  3188  3904 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 PV626349.1           -           3907  6.6e-244  802.2   0.0   1   1  2.5e-244  9.3e-244  801.7   0.0     1   498  2692  3187  2692  3187 0.99 -
NS2_Pestivirus_i=35_n=16     -            454 PV626349.1           -           3907  7.2e-218  715.8   1.2   1   1  2.9e-218  1.1e-217  715.2   1.2     5   454  1141  1597  1137  1597 0.98 -
NS4B_Pestivirus_i=23_n=21    -            347 PV626349.1           -           3907  4.6e-187  613.3   0.5   1   1  2.2e-187  8.2e-187  612.5   0.5     3   347  2347  2691  2345  2691 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PV626349.1           -           3907  1.4e-174  573.0   0.8   1   1  3.9e-175  1.4e-174  573.0   0.8     4   373   696  1065   694  1066 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PV626349.1           -           3907  3.9e-121  395.1   3.3   1   1  2.1e-121  7.6e-121  394.2   3.3     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PV626349.1           -           3907   3.9e-96  312.9   1.0   1   1   2.2e-96   8.2e-96  311.8   1.0     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PV626349.1           -           3907   4.9e-86  278.9   0.1   1   1   2.5e-86   9.1e-86  278.0   0.1     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PV626349.1           -           3907   3.9e-48  154.0   7.9   1   1   2.3e-48   8.4e-48  152.9   7.9     2   100   171   269   167   270 0.95 -
NS3_Pegivirus_i=21_n=21      -            629 PV626349.1           -           3907   1.6e-38  124.5   3.8   1   1     7e-39   2.5e-38  123.8   3.8    99   483  1716  2120  1654  2125 0.77 -
NS3_Hepacivirus_i=11_n=26    -            627 PV626349.1           -           3907   5.8e-38  122.7   4.5   1   1   2.5e-38     9e-38  122.1   4.5    46   482  1655  2121  1642  2128 0.75 -
NS4A_Pestivirus_i=29_n=21    -             64 PV626349.1           -           3907   5.8e-35  111.5   0.1   1   1   3.5e-35   1.3e-34  110.4   0.1     1    64  2281  2344  2281  2344 0.98 -
p7_Pestivirus_i=38_n=16      -             70 PV626349.1           -           3907   3.6e-33  105.6   4.5   1   1   9.7e-34   3.6e-33  105.6   4.5     2    70  1068  1136  1067  1136 0.98 -
NS5A_Pestivirus_i=58_n=3     -            487 PV626349.1           -           3907   3.2e-32  103.7   0.0   1   1   1.4e-32   5.1e-32  103.0   0.0     1   472  2692  3167  2692  3180 0.81 -
NS2_Pestivirus_i=57_n=3      -            456 PV626349.1           -           3907   7.1e-25   79.7   0.3   1   1   1.9e-25   7.1e-25   79.7   0.3   228   456  1365  1597  1341  1597 0.84 -
NS3_Orthoflavivirus_i=1_n=57 -            621 PV626349.1           -           3907   9.5e-22   69.2   0.1   1   1     5e-22   1.8e-21   68.2   0.1   110   474  1732  2112  1716  2133 0.74 -
RdRp_Hepacivirus_i=10_n=26   -            594 PV626349.1           -           3907     5e-20   63.6   0.0   1   1   2.2e-20     8e-20   62.9   0.0    83   399  3394  3714  3346  3727 0.76 -
RdRp_Pegivirus_i=19_n=21     -            569 PV626349.1           -           3907   1.4e-16   52.1   0.0   1   1   6.5e-17   2.4e-16   51.3   0.0    42   414  3354  3757  3342  3770 0.75 -
RdRp_Orthoflavivirus_0_57    -            903 PV626349.1           -           3907   4.8e-08   23.6   0.0   1   1   2.9e-07   1.1e-06   19.1   0.0   534   797  3531  3768  3518  3774 0.81 -
NS5A_Pestivirus_i=61_n=2     -            220 PV626349.1           -           3907   8.6e-08   24.2   0.0   1   1   5.5e-08     2e-07   23.0   0.0    23   216  2711  2902  2694  2905 0.79 -
NS3_Pestivirus_i=20_n=21     -            683 PV626377.1           -           3987         0 1359.4   0.1   1   1         0         0 1358.1   0.1     1   683  1678  2360  1678  2360 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PV626377.1           -           3987         0 1320.0   0.2   1   1         0         0 1319.6   0.2     1   715  3268  3982  3268  3984 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 PV626377.1           -           3987    3e-245  806.6   0.0   1   1  1.2e-245  4.3e-245  806.1   0.0     1   498  2772  3267  2772  3267 0.99 -
NS2_Pestivirus_i=35_n=16     -            454 PV626377.1           -           3987  8.6e-215  705.6   8.4   1   2  1.3e-187  4.4e-187  614.3   4.2     4   401  1139  1536  1136  1548 0.98 -
NS2_Pestivirus_i=35_n=16     -            454 PV626377.1           -           3987  8.6e-215  705.6   8.4   2   2   1.6e-29   5.5e-29   93.2   0.1   400   454  1623  1677  1617  1677 0.96 -
NS4B_Pestivirus_i=23_n=21    -            347 PV626377.1           -           3987  4.5e-188  616.7   0.5   1   1  2.3e-188  7.9e-188  615.9   0.5     3   347  2427  2771  2425  2771 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PV626377.1           -           3987  9.9e-175  573.5   0.4   1   1  2.8e-175  9.9e-175  573.5   0.4     3   373   695  1064   693  1065 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PV626377.1           -           3987  2.5e-122  399.0   2.6   1   1  1.4e-122  4.9e-122  398.1   2.6     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PV626377.1           -           3987   3.4e-95  309.8   0.5   1   1   2.2e-95   7.8e-95  308.6   0.5     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PV626377.1           -           3987   1.1e-86  280.9   0.1   1   1     6e-87   2.1e-86  280.0   0.1     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PV626377.1           -           3987   1.5e-47  152.1   8.8   1   1     9e-48   3.2e-47  151.0   8.8     2   100   171   269   167   270 0.95 -
NS3_Pegivirus_i=21_n=21      -            629 PV626377.1           -           3987   6.7e-39  125.8   4.1   1   1   3.1e-39   1.1e-38  125.1   4.1    99   483  1796  2200  1734  2205 0.78 -
Jiv90                        PF14901.12    90 PV626377.1           -           3987   1.4e-37  120.2   0.4   1   1   1.4e-37     5e-37  118.4   0.4     6    89  1535  1618  1532  1619 0.98 Cleavage inducing molecular chaperone
NS3_Hepacivirus_i=11_n=26    -            627 PV626377.1           -           3987   8.6e-37  118.8   5.0   1   1   3.8e-37   1.3e-36  118.2   5.0    46   482  1735  2201  1720  2208 0.75 -
NS4A_Pestivirus_i=29_n=21    -             64 PV626377.1           -           3987   1.2e-35  113.8   0.1   1   1     7e-36   2.4e-35  112.7   0.1     1    64  2361  2424  2361  2424 0.98 -
p7_Pestivirus_i=38_n=16      -             70 PV626377.1           -           3987   8.2e-33  104.4   4.3   1   1   2.4e-33   8.2e-33  104.4   4.3     2    70  1067  1135  1066  1135 0.98 -
NS5A_Pestivirus_i=58_n=3     -            487 PV626377.1           -           3987   4.5e-32  103.1   0.0   1   1   2.2e-32   7.6e-32  102.4   0.0     1   472  2772  3247  2772  3260 0.80 -
NS3_Orthoflavivirus_i=1_n=57 -            621 PV626377.1           -           3987   2.7e-22   71.0   0.1   1   1   1.4e-22   5.1e-22   70.1   0.1   125   474  1828  2192  1796  2213 0.74 -
RdRp_Hepacivirus_i=10_n=26   -            594 PV626377.1           -           3987   1.4e-19   62.0   0.0   1   1   6.5e-20   2.3e-19   61.4   0.0   107   399  3495  3794  3426  3807 0.76 -
NS2_Pestivirus_i=57_n=3      -            456 PV626377.1           -           3987     1e-18   59.5  13.0   1   2   1.9e-16   6.7e-16   50.1   0.9   214   388  1344  1522  1293  1542 0.85 -
NS2_Pestivirus_i=57_n=3      -            456 PV626377.1           -           3987     1e-18   59.5  13.0   2   2   1.7e-06     6e-06   17.3   0.0   420   456  1641  1677  1619  1677 0.88 -
RdRp_Pegivirus_i=19_n=21     -            569 PV626377.1           -           3987   2.1e-16   51.5   0.0   1   1     1e-16   3.5e-16   50.7   0.0    42   414  3434  3837  3422  3850 0.74 -
RdRp_Orthoflavivirus_0_57    -            903 PV626377.1           -           3987   2.9e-08   24.3   0.0   1   1   1.9e-07   6.7e-07   19.8   0.0   535   797  3612  3848  3601  3854 0.81 -
NS5A_Pestivirus_i=61_n=2     -            220 PV626377.1           -           3987     3e-08   25.7   0.0   1   1   1.9e-08   6.8e-08   24.5   0.0    15   216  2783  2982  2773  2985 0.78 -
NS3_Pestivirus_i=20_n=21     -            683 PV554201.1           -           3899         0 1360.4   0.1   1   1         0         0 1358.1   0.1     1   683  1590  2272  1590  2272 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PV554201.1           -           3899         0 1313.0   0.9   1   1         0         0 1312.6   0.9     1   715  3180  3894  3180  3896 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 PV554201.1           -           3899  3.8e-243  799.7   0.0   1   1  1.4e-243  5.2e-243  799.2   0.0     1   498  2684  3179  2684  3179 0.99 -
NS2_Pestivirus_i=35_n=16     -            454 PV554201.1           -           3899  4.4e-222  729.7   5.9   1   1  1.9e-222  6.8e-222  729.0   5.9     6   454  1142  1589  1137  1589 0.99 -
NS4B_Pestivirus_i=23_n=21    -            347 PV554201.1           -           3899  1.3e-187  615.1   1.4   1   1  6.5e-188  2.4e-187  614.3   0.4     3   347  2339  2683  2337  2683 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PV554201.1           -           3899  9.7e-176  576.8   0.6   1   1  5.5e-176    2e-175  575.8   0.6     3   373   695  1065   693  1066 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PV554201.1           -           3899  9.4e-122  397.1   3.9   1   1    5e-122  1.8e-121  396.2   3.9     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PV554201.1           -           3899     1e-94  308.2   0.4   1   1   6.3e-95   2.3e-94  307.1   0.4     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PV554201.1           -           3899   7.9e-86  278.2   0.1   1   1   4.1e-86   1.5e-85  277.3   0.1     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PV554201.1           -           3899   7.1e-48  153.1   6.4   1   1   4.3e-48   1.6e-47  152.0   6.4     4   100   170   269   167   270 0.92 -
NS3_Pegivirus_i=21_n=21      -            629 PV554201.1           -           3899   2.3e-39  127.3   3.4   1   1     1e-39   3.7e-39  126.6   3.4    99   483  1708  2112  1648  2117 0.76 -
NS3_Hepacivirus_i=11_n=26    -            627 PV554201.1           -           3899   7.3e-38  122.4   4.2   1   1   3.1e-38   1.1e-37  121.7   4.2    46   482  1647  2113  1634  2120 0.76 -
NS4A_Pestivirus_i=29_n=21    -             64 PV554201.1           -           3899   3.5e-36  115.4   0.1   1   1   2.1e-36   7.6e-36  114.3   0.1     1    64  2273  2336  2273  2336 0.99 -
p7_Pestivirus_i=38_n=16      -             70 PV554201.1           -           3899   1.1e-31  100.8   3.8   1   1     3e-32   1.1e-31  100.8   3.8     2    70  1068  1136  1067  1136 0.98 -
NS5A_Pestivirus_i=58_n=3     -            487 PV554201.1           -           3899   1.4e-29   94.9   0.0   1   1   6.4e-30   2.3e-29   94.2   0.0     1   474  2684  3161  2684  3175 0.80 -
NS2_Pestivirus_i=57_n=3      -            456 PV554201.1           -           3899   5.3e-25   80.1   1.0   1   1   1.5e-25   5.3e-25   80.1   1.0   222   456  1351  1589  1252  1589 0.85 -
NS3_Orthoflavivirus_i=1_n=57 -            621 PV554201.1           -           3899   8.5e-23   72.6   0.1   1   1   4.4e-23   1.6e-22   71.7   0.1   110   474  1724  2104  1707  2125 0.74 -
RdRp_Hepacivirus_i=10_n=26   -            594 PV554201.1           -           3899   8.5e-21   66.1   0.0   1   1   4.1e-21   1.5e-20   65.3   0.0    43   399  3346  3706  3329  3720 0.81 -
RdRp_Pegivirus_i=19_n=21     -            569 PV554201.1           -           3899   2.7e-16   51.1   0.0   1   1   1.3e-16   4.8e-16   50.3   0.0    43   413  3347  3748  3335  3761 0.73 -
RdRp_Orthoflavivirus_0_57    -            903 PV554201.1           -           3899   6.5e-08   23.1   0.1   1   1   4.3e-07   1.6e-06   18.5   0.1   534   797  3523  3760  3508  3766 0.80 -
NS5A_Pestivirus_i=61_n=2     -            220 PV554201.1           -           3899     1e-06   20.7   0.0   1   1   6.3e-07   2.3e-06   19.5   0.0    22   216  2702  2894  2685  2897 0.79 -
NS3_Pestivirus_i=20_n=21     -            683 NC_039237.1          -           3974         0 1353.0   0.4   1   1         0         0 1352.6   0.4     1   683  1664  2346  1664  2346 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 NC_039237.1          -           3974         0 1315.3   0.4   1   1         0         0 1314.9   0.4     1   714  3255  3968  3255  3971 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 NC_039237.1          -           3974  9.1e-249  818.2   0.0   1   1  3.9e-249  1.3e-248  817.7   0.0     1   498  2758  3254  2758  3254 1.00 -
NS2_Pestivirus_i=35_n=16     -            454 NC_039237.1          -           3974  8.9e-226  741.8   2.8   1   1  2.7e-226  8.9e-226  741.8   2.8     5   454  1215  1663  1211  1663 0.99 -
NS4B_Pestivirus_i=23_n=21    -            347 NC_039237.1          -           3974  4.8e-189  619.8   2.5   1   1  1.4e-189  4.8e-189  619.8   2.5     3   347  2413  2757  2411  2757 0.99 -
E2_Pestivirus_i=24_n=21      -            374 NC_039237.1          -           3974  1.8e-172  566.1   0.7   1   1  1.1e-172  3.5e-172  565.1   0.7     3   373   695  1063   694  1064 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 NC_039237.1          -           3974  1.7e-121  396.3   4.4   1   1    1e-121  3.5e-121  395.3   4.4     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 NC_039237.1          -           3974     1e-95  311.5   0.2   1   1   6.2e-96   2.1e-95  310.5   0.2     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 NC_039237.1          -           3974   4.4e-87  282.3   0.1   1   1   2.5e-87   8.4e-87  281.3   0.1     1   168     1   168     1   168 1.00 -
p7_Pestivirus_i=38_n=16      -             70 NC_039237.1          -           3974   6.3e-50  159.2  21.5   1   2   1.1e-33   3.6e-33  105.5   6.1     3    70  1067  1134  1065  1134 0.98 -
p7_Pestivirus_i=38_n=16      -             70 NC_039237.1          -           3974   6.3e-50  159.2  21.5   2   2   4.4e-19   1.5e-18   58.7   7.4    22    68  1162  1208  1151  1210 0.95 -
C_Pestivirus_i=28_n=21       -            101 NC_039237.1          -           3974   1.7e-48  155.1   5.4   1   1   1.2e-48   4.1e-48  153.9   5.4     4   100   173   269   167   270 0.93 -
NS3_Pegivirus_i=21_n=21      -            629 NC_039237.1          -           3974   2.5e-36  117.2   2.4   1   1   1.2e-36   4.1e-36  116.6   2.4    84   482  1764  2185  1720  2190 0.76 -
NS4A_Pestivirus_i=29_n=21    -             64 NC_039237.1          -           3974     1e-34  110.7   0.0   1   1   7.2e-35   2.4e-34  109.5   0.0     1    64  2347  2410  2347  2410 0.98 -
NS3_Hepacivirus_i=11_n=26    -            627 NC_039237.1          -           3974   6.4e-34  109.3   3.6   1   1   3.1e-34     1e-33  108.7   3.6    46   482  1721  2187  1708  2194 0.76 -
NS5A_Pestivirus_i=58_n=3     -            487 NC_039237.1          -           3974   1.5e-32  104.7   0.0   1   1   8.9e-33     3e-32  103.7   0.0     1   474  2758  3236  2758  3251 0.79 -
NS2_Pestivirus_i=57_n=3      -            456 NC_039237.1          -           3974   7.4e-28   89.6   1.1   1   1   4.6e-28   1.5e-27   88.5   1.1   229   456  1432  1663  1309  1663 0.83 -
NS3_Orthoflavivirus_i=1_n=57 -            621 NC_039237.1          -           3974   7.5e-23   72.8   0.1   1   1   4.2e-23   1.4e-22   71.9   0.1   110   475  1798  2179  1720  2207 0.77 -
RdRp_Hepacivirus_i=10_n=26   -            594 NC_039237.1          -           3974   5.6e-22   70.0   0.0   1   1   2.7e-22   9.2e-22   69.3   0.0    45   398  3423  3780  3408  3791 0.79 -
RdRp_Pegivirus_i=19_n=21     -            569 NC_039237.1          -           3974   2.4e-16   51.3   0.0   1   1   1.2e-16     4e-16   50.5   0.0    42   411  3421  3821  3408  3834 0.72 -
NS5A_Pestivirus_i=61_n=2     -            220 NC_039237.1          -           3974     1e-10   33.8   0.0   1   1   6.4e-11   2.1e-10   32.7   0.0    23   216  2777  2968  2759  2971 0.85 -
NS3_Pestivirus_i=20_n=21     -            683 PQ382802.1           -           3902         0 1359.0   0.0   1   1         0         0 1357.7   0.1     1   683  1592  2274  1592  2274 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PQ382802.1           -           3902         0 1301.1   0.5   1   1         0         0 1300.8   0.5     1   716  3182  3898  3182  3899 0.99 -
NS5A_Pestivirus_i=36_n=16    -            498 PQ382802.1           -           3902  1.3e-236  778.1   0.0   1   1  5.5e-237    2e-236  777.5   0.0     1   498  2686  3181  2686  3181 0.99 -
NS2_Pestivirus_i=35_n=16     -            454 PQ382802.1           -           3902  2.1e-217  714.3   0.9   1   1  8.3e-218    3e-217  713.7   0.9     8   454  1146  1591  1139  1591 0.99 -
NS4B_Pestivirus_i=23_n=21    -            347 PQ382802.1           -           3902  2.6e-185  607.6   1.8   1   1  1.3e-185  4.6e-185  606.8   1.8     3   347  2341  2685  2339  2685 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PQ382802.1           -           3902  8.3e-173  567.2   4.4   1   1  3.6e-173  1.3e-172  566.5   4.4     3   372   697  1066   695  1068 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PQ382802.1           -           3902  1.3e-120  393.5   2.2   1   1  7.9e-121  2.9e-120  392.3   2.2     1   227   273   499   273   499 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PQ382802.1           -           3902     2e-96  313.8   0.5   1   1     1e-96   3.7e-96  313.0   0.5     1   198   500   694   500   694 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PQ382802.1           -           3902   2.2e-84  273.5   0.1   1   1   1.2e-84   4.3e-84  272.5   0.1     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PQ382802.1           -           3902   7.1e-45  143.5   5.7   1   1   4.6e-45   1.7e-44  142.3   5.7     5    99   174   270   168   272 0.91 -
NS3_Pegivirus_i=21_n=21      -            629 PQ382802.1           -           3902   1.3e-38  124.8   2.1   1   1   5.9e-39   2.2e-38  124.1   2.1    82   483  1690  2114  1649  2119 0.76 -
NS3_Hepacivirus_i=11_n=26    -            627 PQ382802.1           -           3902   1.4e-36  118.1   3.0   1   1   6.1e-37   2.2e-36  117.5   3.0    46   481  1649  2114  1636  2121 0.77 -
NS4A_Pestivirus_i=29_n=21    -             64 PQ382802.1           -           3902   3.3e-36  115.5   0.3   1   1   5.7e-36   2.1e-35  112.9   0.1     1    64  2275  2338  2275  2338 0.99 -
p7_Pestivirus_i=38_n=16      -             70 PQ382802.1           -           3902     4e-29   92.6   1.1   1   1   1.1e-29     4e-29   92.6   1.1     2    70  1070  1138  1069  1138 0.98 -
NS2_Pestivirus_i=57_n=3      -            456 PQ382802.1           -           3902   1.5e-25   82.0   1.9   1   1   8.9e-26   3.3e-25   80.8   1.9   134   456  1261  1591  1152  1591 0.78 -
NS5A_Pestivirus_i=58_n=3     -            487 PQ382802.1           -           3902   1.6e-25   81.5   0.0   1   1   1.6e-25   5.8e-25   79.7   0.0     1   462  2686  3151  2686  3171 0.76 -
NS3_Orthoflavivirus_i=1_n=57 -            621 PQ382802.1           -           3902   1.7e-21   68.3   0.1   1   1   7.8e-22   2.9e-21   67.6   0.1   110   474  1726  2106  1711  2127 0.74 -
RdRp_Hepacivirus_i=10_n=26   -            594 PQ382802.1           -           3902   6.7e-21   66.4   0.0   1   1   2.9e-21   1.1e-20   65.8   0.0   112   399  3414  3708  3340  3720 0.79 -
RdRp_Pegivirus_i=19_n=21     -            569 PQ382802.1           -           3902   9.4e-15   46.0   0.0   1   1   4.4e-15   1.6e-14   45.2   0.0    79   411  3384  3748  3338  3762 0.68 -
NS5A_Pestivirus_i=61_n=2     -            220 PQ382802.1           -           3902   1.4e-10   33.4   0.0   1   1   7.5e-11   2.7e-10   32.4   0.0    15   216  2697  2896  2687  2899 0.83 -
RdRp_Orthoflavivirus_0_57    -            903 PQ382802.1           -           3902   2.8e-07   21.1   0.0   1   1   2.1e-06   7.7e-06   16.3   0.0   534   798  3525  3763  3509  3768 0.80 -
NS3_Pestivirus_i=20_n=21     -            683 PP823882.1           -           3908         0 1365.2   0.4   1   1         0         0 1364.7   0.4     1   683  1598  2280  1598  2280 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PP823882.1           -           3908         0 1313.5   0.4   1   1         0         0 1313.0   0.4     1   715  3189  3903  3189  3905 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 PP823882.1           -           3908  2.8e-244  803.4   0.0   1   1  1.1e-244    4e-244  802.9   0.0     1   498  2692  3188  2692  3188 1.00 -
NS2_Pestivirus_i=35_n=16     -            454 PP823882.1           -           3908  1.3e-218  718.2   1.9   1   1  5.4e-219    2e-218  717.6   1.9     5   454  1139  1597  1135  1597 0.97 -
NS4B_Pestivirus_i=23_n=21    -            347 PP823882.1           -           3908  1.2e-182  598.8   3.4   1   1    5e-183  1.8e-182  598.2   2.9     3   347  2347  2691  2345  2691 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PP823882.1           -           3908  5.2e-170  558.0   1.2   1   1  2.5e-170  9.2e-170  557.2   1.2     3   371   695  1061   694  1064 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PP823882.1           -           3908  6.6e-122  397.6   5.9   1   1  3.7e-122  1.3e-121  396.6   5.9     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PP823882.1           -           3908   9.5e-96  311.6   0.2   1   1   4.9e-96   1.8e-95  310.7   0.2     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PP823882.1           -           3908   7.4e-88  284.8   0.4   1   1   3.7e-88   1.4e-87  283.9   0.4     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PP823882.1           -           3908   1.2e-47  152.4   5.0   1   1   7.3e-48   2.7e-47  151.3   5.0     5   100   174   269   167   270 0.92 -
NS3_Pegivirus_i=21_n=21      -            629 PP823882.1           -           3908   4.4e-38  123.1   2.1   1   1   1.9e-38   6.8e-38  122.4   2.1    99   483  1716  2120  1657  2125 0.78 -
NS3_Hepacivirus_i=11_n=26    -            627 PP823882.1           -           3908   1.3e-35  114.9   3.6   1   1   5.8e-36   2.1e-35  114.2   3.6    48   482  1657  2121  1644  2128 0.75 -
NS4A_Pestivirus_i=29_n=21    -             64 PP823882.1           -           3908   1.3e-34  110.4   0.1   1   1   8.8e-35   3.2e-34  109.1   0.1     1    64  2281  2344  2281  2344 0.98 -
