Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date,Molecule_type
PV945812,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,1v,Gansu2,12129,complete,China,,Bos taurus,blood,"Li,C., Mo,L.Y., Liu,J.Z., Cao,A.X., Gao,D.S., He,J.J., Shang,J.Y.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory for Animal Disease Control and Prevention",China,2025,2025-08-05,ssRNA(+)
PQ816256,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,BVDV-1m-HLJ-2018,12215,complete,China,,Bos taurus,oronasopharynx,"Yin,X., Sun,C., Liu,J.","Harbin Veterinary Research Institute (HVRI), Livestock Infectious Diseases Research Team",China,2018,2025-07-31,ssRNA(+)
LC881125,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/76/2020,11826,partial,"Japan:Okinawa,Uruma",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-11,2025-07-24,ssRNA(+)
LC881126,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/77/2020,11826,partial,"Japan:Gunma,Takasaki",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-09-25,2025-07-24,ssRNA(+)
LC881127,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/78/2020,11826,partial,"Japan:Yamagata,Tsuruoka",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-24,2025-07-24,ssRNA(+)
LC881128,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/79/2020,11826,partial,"Japan:Mie,Iga",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-28,2025-07-24,ssRNA(+)
LC881129,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/80/2021,11826,partial,"Japan:Wakayama,Katsuragi",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-01-25,2025-07-24,ssRNA(+)
LC881130,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/81/2021,11826,partial,"Japan:Nara,Nara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-29,2025-07-24,ssRNA(+)
LC881131,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/82/2021,11826,partial,"Japan:Gunma,Maebashi",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-01,2025-07-24,ssRNA(+)
LC881132,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/83/2021,11826,partial,"Japan:Mie,Tsu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-13,2025-07-24,ssRNA(+)
LC881133,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/84/2021,11826,partial,"Japan:Tochigi,Nasushiobara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-16,2025-07-24,ssRNA(+)
LC881134,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/85/2021,11826,partial,"Japan:Tochigi,Nasushiobara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-16,2025-07-24,ssRNA(+)
LC881135,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/86/2021,11826,partial,"Japan:Yamanashi,Chuo",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-10,2025-07-24,ssRNA(+)
LC881136,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/87/2021,11826,partial,"Japan:Kanagawa,Sagamihara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-07,2025-07-24,ssRNA(+)
LC881137,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/88/2021,11826,partial,"Japan:Yamanashi,Doshi",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-04,2025-07-24,ssRNA(+)
LC881138,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/89/2021,11826,partial,"Japan:Gunma,Kiryu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-06,2025-07-24,ssRNA(+)
LC881139,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/90/2021,11826,partial,"Japan:Shiga,Ohmihachiman",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-10-05,2025-07-24,ssRNA(+)
LC881140,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/91/2021,11826,partial,"Japan:Gunma,Maebashi",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-10-18,2025-07-24,ssRNA(+)
LC881141,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/92/2021,11826,partial,"Japan:Gunma,Kiryu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-11-25,2025-07-24,ssRNA(+)
LC881142,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/93/2021,11826,partial,"Japan:Miyagi,Ogawara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-11,2025-07-24,ssRNA(+)
LC881143,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/94/2021,11826,partial,"Japan:Miyagi,Marumori",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-24,2025-07-24,ssRNA(+)
LC881144,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/95/2022,11826,partial,"Japan:Tochigi,Nakagawa",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-03-24,2025-07-24,ssRNA(+)
LC881145,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/96/2022,11826,partial,"Japan:Ibaraki,Ishioka",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-12,2025-07-24,ssRNA(+)
LC881146,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/97/2022,11826,partial,"Japan:Ibaraki,Shirosato",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-14,2025-07-24,ssRNA(+)
LC881147,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/98/2022,11826,partial,"Japan:Gunma,Ota",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-21,2025-07-24,ssRNA(+)
LC881148,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/99/2022,11826,partial,"Japan:Gunma,Kiryu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-05-09,2025-07-24,ssRNA(+)
LC881149,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/100/2022,11826,partial,"Japan:Gunma,Kiryu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-14,2025-07-24,ssRNA(+)
LC881150,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/101/2022,11826,partial,"Japan:Tochigi,Nasukarasuyama",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-07-22,2025-07-24,ssRNA(+)
LC881151,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/102/2022,11826,partial,"Japan:Gunma,Itakura",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-09-20,2025-07-24,ssRNA(+)
LC881152,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/103/2022,11826,partial,"Japan:Tokyo,Kodaira",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-19,2025-07-24,ssRNA(+)
LC881153,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/104/2023,11826,partial,"Japan:Ibaraki,Kasumigaura",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-02-28,2025-07-24,ssRNA(+)
LC881154,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/105/2023,11826,partial,"Japan:Hyogo,Minamiawaji",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-07-22,2025-07-24,ssRNA(+)
LC881155,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/106/2023,11826,partial,"Japan:Saga,Karatsu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-08-30,2025-07-24,ssRNA(+)
LC881156,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/107/2023,11826,partial,"Japan:Saga,Karatsu",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-08-31,2025-07-24,ssRNA(+)
LC881157,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/108/2024,11826,partial,"Japan:Tochigi,Tochigi",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-02-16,2025-07-24,ssRNA(+)
LC881158,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/109/2024,11826,partial,"Japan:Tochigi,Nasushiobara",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-05-24,2025-07-24,ssRNA(+)
LC881159,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/110/2024,11826,partial,"Japan:Iwate,Hirono",,Sus scrofa domesticus,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-05-27,2025-07-24,ssRNA(+)
LC881160,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI167/2019,11826,partial,"Japan:Gifu,Yaotsu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24,ssRNA(+)
LC881161,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI169/2019,11826,partial,"Japan:Gifu,Yaotsu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24,ssRNA(+)
LC881162,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI170/2019,11826,partial,"Japan:Gifu,Kawabe",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-20,2025-07-24,ssRNA(+)
LC881163,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI172/2019,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-19,2025-07-24,ssRNA(+)
LC881164,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI173/2019,11826,partial,"Japan:Gifu,Mino",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-20,2025-07-24,ssRNA(+)
LC881165,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI174/2019,11826,partial,"Japan:Gifu,Minokamo",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24,ssRNA(+)
LC881166,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI175/2019,11826,partial,"Japan:Gifu,Gifu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24,ssRNA(+)
LC881167,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_KY1/2020,11826,partial,"Japan:Kyoto,Ujitawara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-21,2025-07-24,ssRNA(+)
LC881168,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NI1/2020,11826,partial,"Japan:Niigata,Myoko",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-20,2025-07-24,ssRNA(+)
LC881169,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_KN1/2020,11826,partial,"Japan:Kanagawa,Sagamihara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-05-09,2025-07-24,ssRNA(+)
LC881170,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI177/2019,11826,partial,"Japan:Gifu,Gifu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-21,2025-07-24,ssRNA(+)
LC881171,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI183/2019,11826,partial,"Japan:Gifu,Gifu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24,ssRNA(+)
LC881172,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI185/2019,11826,partial,"Japan:Gifu,Minokamo",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24,ssRNA(+)
LC881173,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI186/2019,11826,partial,"Japan:Gifu,Mitake",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2019-02-25,2025-07-24,ssRNA(+)
LC881174,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IB1/2020,11826,partial,"Japan:Ibaraki,Toride",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-25,2025-07-24,ssRNA(+)
